Category,Module_Name,File_Name,Role,File_Size_Bytes,Standardized_Path,Original_Source_Path
01_Pumps_and_Motors,BlueWhite_C630P_Chemical_Dosing_Pump,BlueWhite_C630P_Chemical_Dosing_Pump.ipt,Part,417280,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\BlueWhite_C630P_Chemical_Dosing_Pump\BlueWhite_C630P_Chemical_Dosing_Pump.ipt,Origin Created in Module
01_Pumps_and_Motors,CNP_CDH20_17_Flange_Pump,CNP_CDH20_17_High_Pressure_Pump.ipt,Part,3423744,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_CDH20_17_Flange_Pump\CNP_CDH20_17_High_Pressure_Pump.ipt,Origin Created in Module
01_Pumps_and_Motors,CNP_CDLF15_RO_Booster_Pump,Bolted Connection1.iam,Assembly,195584,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_CDLF15_RO_Booster_Pump\Bolted Connection1.iam,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\bom ap cao\LAP BOM CDLF15\Design Accelerator\Bolted Connection1.iam
01_Pumps_and_Motors,CNP_CDLF15_RO_Booster_Pump,CDLF 15.ipt,Part,1022464,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_CDLF15_RO_Booster_Pump\CDLF 15.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\bom ap cao\CDLF 15.ipt
01_Pumps_and_Motors,CNP_CDLF15_RO_Booster_Pump,CNP_CDLF15_RO_Booster_Pump.iam,Main Assembly,361984,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_CDLF15_RO_Booster_Pump\CNP_CDLF15_RO_Booster_Pump.iam,Origin Created in Module
01_Pumps_and_Motors,CNP_CDMF15_RO_Booster_Pump,CNP_CDMF15_RO_Booster_Pump.ipt,Part,268288,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_CDMF15_RO_Booster_Pump\CNP_CDMF15_RO_Booster_Pump.ipt,Origin Created in Module
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,bom cap ZS65-50-200-9.2.ipt,Part,648192,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\bom cap ZS65-50-200-9.2.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\bom ro\bom cap ZS65-50-200-9.2.ipt
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,CNP_ZS65_Horizontal_Centrifugal_Pump.iam,Main Assembly,308736,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\CNP_ZS65_Horizontal_Centrifugal_Pump.iam,Origin Created in Module
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,ISO 4161 - M10(1).ipt,Part,201216,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\ISO 4161 - M10(1).ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\0-LOC TONG HOP\XLNT toshiba\Libraries\Content Center Files\en-US\ISO 4161\ISO 4161 - M10(1).ipt
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,ISO 7005-1 Plate Flange for Welding Type 01 Flat Face - ISO PN 6 DN50.ipt,Part,161280,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\ISO 7005-1 Plate Flange for Welding Type 01 Flat Face - ISO PN 6 DN50.ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 7005-1 01 - PN 6\ISO 7005-1 Plate Flange for Welding Type 01 Flat Face - ISO PN 6 DN50.ipt
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,ISO 7005-1 Plate Flange for Welding Type 01 Flat Face - ISO PN 6 DN65.ipt,Part,160768,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\ISO 7005-1 Plate Flange for Welding Type 01 Flat Face - ISO PN 6 DN65.ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 7005-1 01 - PN 6\ISO 7005-1 Plate Flange for Welding Type 01 Flat Face - ISO PN 6 DN65.ipt
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,MAT BICH 60.ipt,Part,135168,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\MAT BICH 60.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\MAT BICH 60.ipt
01_Pumps_and_Motors,CNP_ZS65_Horizontal_Centrifugal_Pump,mat bich 76.ipt,Part,173568,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\CNP_ZS65_Horizontal_Centrifugal_Pump\mat bich 76.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\phu kien inox\mat bich 76.ipt
01_Pumps_and_Motors,Digital_Chemical_Dosing_Pump_4_20mA,Digital_Chemical_Dosing_Pump_4_20mA.ipt,Part,1224704,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\Digital_Chemical_Dosing_Pump_4_20mA\Digital_Chemical_Dosing_Pump_4_20mA.ipt,Origin Created in Module
01_Pumps_and_Motors,High_Pressure_RO_Booster_Pump,High_Pressure_RO_Booster_Pump.ipt,Part,2873344,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\High_Pressure_RO_Booster_Pump\High_Pressure_RO_Booster_Pump.ipt,Origin Created in Module
01_Pumps_and_Motors,Industrial_3Phase_Motor_0_37kW,Industrial_3Phase_Motor_0_37kW.ipt,Part,246784,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\Industrial_3Phase_Motor_0_37kW\Industrial_3Phase_Motor_0_37kW.ipt,Origin Created in Module
01_Pumps_and_Motors,Nikkiso_Nano_A_Chemical_Dosing_Pump,Nikkiso_Nano_A_Chemical_Dosing_Pump.ipt,Part,1245696,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\Nikkiso_Nano_A_Chemical_Dosing_Pump\Nikkiso_Nano_A_Chemical_Dosing_Pump.ipt,Origin Created in Module
01_Pumps_and_Motors,SEKO_AKL803_Dosing_Pump_Station,BOM DL AKL 803.ipt,Part,710656,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\SEKO_AKL803_Dosing_Pump_Station\BOM DL AKL 803.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\bom dinh luong\AKL 803\BOM DL AKL 803.ipt
01_Pumps_and_Motors,SEKO_AKL803_Dosing_Pump_Station,LAP 1 BOM DL AKL 803.iam,Assembly,258048,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\SEKO_AKL803_Dosing_Pump_Station\LAP 1 BOM DL AKL 803.iam,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\bom dinh luong\AKL 803\LAP 1 BOM DL AKL 803.iam
01_Pumps_and_Motors,SEKO_AKL803_Dosing_Pump_Station,PAT DO.ipt,Part,271360,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\SEKO_AKL803_Dosing_Pump_Station\PAT DO.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\bom dinh luong\AKL 803\PAT DO.ipt
01_Pumps_and_Motors,SEKO_AKL803_Dosing_Pump_Station,SEKO_AKL803_Dosing_Pump_Station.0011.iam,Assembly,271872,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\SEKO_AKL803_Dosing_Pump_Station\SEKO_AKL803_Dosing_Pump_Station.0011.iam,Origin Created in Module
01_Pumps_and_Motors,Tunglee_0_4kW_Gear_Motor_3Phase,Tunglee_0_4kW_Gear_Motor_3Phase.ipt,Part,1158656,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\01_Pumps_and_Motors\Tunglee_0_4kW_Gear_Motor_3Phase\Tunglee_0_4kW_Gear_Motor_3Phase.ipt,Origin Created in Module
02_Tanks_and_Pressure_Vessels,Brine_Salt_Tank_100L_PE_with_Brine_Well,Brine_Salt_Tank_100L_PE_with_Brine_Well.iam,Main Assembly,188416,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Brine_Salt_Tank_100L_PE_with_Brine_Well\Brine_Salt_Tank_100L_PE_with_Brine_Well.iam,Origin Created in Module
02_Tanks_and_Pressure_Vessels,Brine_Salt_Tank_100L_PE_with_Brine_Well,thung muoi 100L.ipt,Part,771072,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Brine_Salt_Tank_100L_PE_with_Brine_Well\thung muoi 100L.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\2m3 xuong chao\thung muoi 100L.ipt
02_Tanks_and_Pressure_Vessels,Compact_Square_PE_Brine_Tank_80L,Compact_Square_PE_Brine_Tank_80L.ipt,Part,814592,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Compact_Square_PE_Brine_Tank_80L\Compact_Square_PE_Brine_Tank_80L.ipt,Origin Created in Module
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,114.ipt,Part,380928,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\114.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\114.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,90.ipt,Part,391680,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\90.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\90.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,90_MIR.ipt,Part,129536,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\90_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\90_MIR.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,chan de.ipt,Part,483840,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\chan de.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\chan de.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,chom duoi.ipt,Part,729088,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\chom duoi.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\chom duoi.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,chom tren.ipt,Part,662528,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\chom tren.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\chom tren.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,Industrial_Sand_Filter_Tank_D2100_SS304.iam,Main Assembly,1807872,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\Industrial_Sand_Filter_Tank_D2100_SS304.iam,Origin Created in Module
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,ISO 7089 - 6 - 140 HV(1).ipt,Part,108544,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 7089 - 6 - 140 HV(1).ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 7089\ISO 7089 - 6 - 140 HV(1).ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,ISO 7090 - 18 - 140 HV(1).ipt,Part,118272,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 7090 - 18 - 140 HV(1).ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 7090\ISO 7090 - 18 - 140 HV(1).ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,ISO 7091 - ST 18 - 100 HV.ipt,Part,108544,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 7091 - ST 18 - 100 HV.ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 7091\ISO 7091 - ST 18 - 100 HV.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,ISO 7092 - ST 14 - 140 HV.ipt,Part,107520,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 7092 - ST 14 - 140 HV.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\ISO 7092 - ST 14 - 140 HV.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,ISO 7092 - ST 6 - 140 HV.ipt,Part,109568,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 7092 - ST 6 - 140 HV.ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 7092\ISO 7092 - ST 6 - 140 HV.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,"ISO 8674 - M14 x 1,5ISO.ipt",Part,166400,"D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 8674 - M14 x 1,5ISO.ipt","D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 8674(2)\ISO 8674 - M14 x 1,5ISO.ipt"
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,"ISO 8674 - M18 x 1,5ISO.ipt",Part,166912,"D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 8674 - M18 x 1,5ISO.ipt","D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 8674(2)\ISO 8674 - M18 x 1,5ISO.ipt"
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,ISO 8674 - M8 x 1ISO.ipt,Part,165376,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 8674 - M8 x 1ISO.ipt,D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 8674(2)\ISO 8674 - M8 x 1ISO.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,"ISO 8676 - M14 x 1,5 x 60 - ISO.ipt",Part,196096,"D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 8676 - M14 x 1,5 x 60 - ISO.ipt","D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 8676(2)\ISO 8676 - M14 x 1,5 x 60 - ISO.ipt"
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,"ISO 8676 - M18 x 1,5 x 70 - ISO.ipt",Part,195584,"D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\ISO 8676 - M18 x 1,5 x 70 - ISO.ipt","D:\Autodesk\Inventor 2025\Content Center Files\en-US\ISO 8676(2)\ISO 8676 - M18 x 1,5 x 70 - ISO.ipt"
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,lap loc tren.iam,Assembly,609280,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\lap loc tren.iam,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\lap loc tren.iam
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 0.ipt,Part,400384,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 0.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 0.ipt
02_Tanks_and_Pressure_Vessels,Industrial_Sand_Filter_Tank_D2100_SS304,loc tren 0_MIR.ipt,Part,177152,D:\INVENTOR_DATA\05_STANDARD_COMPONENTS\02_Tanks_and_Pressure_Vessels\Industrial_Sand_Filter_Tank_D2100_SS304\loc tren 0_MIR.ipt,D:\TAN -DU AN\TOSHIBA\120\3d\BON 1\FILTER\002 BON LOC CAT\ong loc tren\loc tren 0_MIR.ipt
